PIC ID,Reference Name,Reference Link,Year,Conference (VENUE),Website,AUTHORS
rb_mask,Mask Changing with Emotion,http://www.interactivearchitecture.org/skin-colouration-in-silicone-wearables.html,2018,Interactive Architecture Lab,https://softroboticstoolkit.com/,Silvia Rueda
6sense,SixthSense,http://www.pranavmistry.com/archived/projects/sixthsense/,2009,SIGGRAPH,http://www.pranavmistry.com/archived/projects/sixthsense/,Pranav Mistry
tapwus,Tap (Wearable Keyboard),https://www.youtube.com/watch?v=gtSQT8lS4vo&feature=youtu.be,2016,YouTube,https://www.tapwithus.com/,"Dovid Schick, Sabrina Kemeny"
commitrings,Cornetto Fidelity Rings,https://www.digitaltrends.com/wearables/cornetto-serial-commitment/,2016,Digital Trends,http://seriescommitment.com/,Julian Chokkattu
sony_MSP,Sony Motion Sonic (Air Guitar),https://www.digitaltrends.com/wearables/sony-motion-sonic/,2017,Digital Trends,https://www.sony.net/SonyInfo/design/stories/motionsonic/,Jon Martindale
stretchcircuit_origami,Stretchable Circuits and Sensors for Robotic Origami,https://docplayer.net/50928872-Stretchable-circuits-and-sensors-for-robotic-origami.html,2011,IEEE,https://ieeexplore.ieee.org/abstract/document/6094746,"Jamie K. Paik, Rebecca K. Kramer and Robert J. Wood"
shrinkdink,Self-folding of polymer sheets using local light absorption,https://pdfs.semanticscholar.org/63f4/c6899f41a401a2c56902fd6459d64abddd29.pdf,2011,Royal Society of Chemistry,https://www.rsc.org/journals-books-databases/about-journals/soft-matter/,"Ying Liu, Julie K. Boyles, Jan Genzer and Michael D. Dickey"
bare_sound,Touch Board,https://www.bareconductive.com/shop/touch-board/,-,Bare Conductive,https://www.bareconductive.com/,Bare Conductive
multimode,"Wearable Textile Input Device with Multimodal Sensing for
Eyes-Free Mobile Interaction during Daily Activities",https://www.sciencedirect.com/science/article/pii/S1574119216300311,2016,Elsevier,,"Sang Ho Yoon, Ke Huo, Karthik Ramani"
print_wheatstone,"Printed Wheatstone bridge with embedded polymer based piezoresistive
sensors for strain sensing applications",https://www.sciencedirect.com/science/article/pii/S2214860417301124,2018,Elsevier,,"H.F. Castro, V. Correia, N. Pereira, P. Costab, J. Oliveiraa, S. Lanceros-Méndez"
