rb_mask,,,x,,
6sense,,x,,,
tapwus,,,x,,
commitrings,,,x,,
sony_MSP,,,x,,
stretchcircuit_origami,,x,,,
shrinkdink,,x,,,
bare_sound,x,,,,
multimode,,x,,,
print_wheatstone,,x,,,
printsense,,x,,,
fabricpcb,x,x,,,
knitglove,,x,,,
siliconedevices,,x,,,
2dtouch,,x,,,
stitchinterconnect,,x,,,
flexiconnect,,x,,,
sketchstitch,,x,,,
moodinq,,,x,,
pebble,x,,,,
cicret,,,x,,x
lumiwatch,,x,,,
woodshapechange,x,x,,,
machineknitting,x,x,,,
aline,,x,,,
electrodermis,,x,,,x
4dmesh,,x,,,
ppactuator,x,x,,,
thermorph,,x,,,
pep,x,x,,,
sbs,x,x,,,
glowingbioactuator2,,x,,,
glowingbioactuator,,x,,,x
biologic,,x,,,
bioprint,,x,,,
layerjam,,x,,,
pneui,,x,,,
chainmail,x,,x,,
kicad,x,,,,
djispark,,,x,,
sensorknit,,x,,,x
liquidprint,,x,,,
lasec,,x ,,,
hotflex,,x ,,,
printscreen,,x ,,,x
tacttoo,,x ,,,
multitouchskin,,x ,,,
iskin,,x ,,,
skinmarks,,x ,,,
tensiongarment,,x ,,,
anthropometric,,x ,,,
auxetic,,x,,,x
deformablestructures,,x,,,x
hygro,x,x,,,
selfevolving,,x,,,
4dprintingtrans,,x,,,
dna,,x,,,
etext,,x,,,
cutsewetext,,x,,,
spatialknit,,x,,,
eink,,x,,,
multishapechange,,x,,,
logicmatter,,x,,,
liquidprintMIT,,x,,,
rockprint,,x,,,
jammingbodies,,x,,,
eink,x,,,,
ledjewel,x,,,,
musicglove,x,,,,
makingsomething,,,x,,x
fantasia,,,x,,x
womanonwoman,,,x,,x
specimen,,,x,,x
workingprocess,,,x,,x
soundsuit,,,,,x
ceres,,,x,,x
orphe,,,x,,x
chromorphous,,,,,x
powersuit,x,,,,x
sed,x,,,,x
cinnabrooch,x,,,,x
pfd,,,,,x
heavypetter,x,,,,
missmyface,x,,,,
personalspace,x,,,,
autofilter,x,,,,
modernconstellation,,,x,,x
hagoromo,,,,,x
lumencouture,,,x,,x
whiteblacklight,,,,,x
gamergirls,x,,,,x
truenorth,,,,,x
refamiliar,,,,,x
smartsuit,,,x,,x
together,,,,,x
exmachina,,,x,,x
softpower,,,,,x
mimic,,,,,x
musetheral,,,x,,x
3lectromode,,,,,x
obscureshadow,,,,,x
virtuallyvogue,,,,,x
phi,,,,,x
alleles,,,,,x
positivefeedback,,,,,x
eunoia,,,,,x
tribaltech,,,,,x
opulence,,,,,x
jewellabyrinth,,,,,x
butterflydress,,,x,,x
blinklifier,,,,,x
illuminatedvintage,,,,,x
thewidow,,,,,x
biomimeticbride,,,,,x
dragonqueen,,,,,x
celebrate,,,,,x
proxima,,,,,x
commonexp,,,x,,x
medusa,,,,,x
techtie,,,,,x
chameleondress,,,,,x
